Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 23,7/2/2016,Celta,1,3,0,0,Sevilla,1,4,0,1,Carlos Velasco Carballo,5.42,0.29,Municipal de Balaidos,"Vigo, Spain",16420
Round 23,7/2/2016,Granada,1,3,0,0,Real Madrid,2,2,0,0,Jesus Gil Manzano,5.27,0.26,Estadio Nuevo Los Carmenes,"Granada, Spain",17052
Round 23,8/2/2016,Espanyol,0,1,0,0,Real Sociedad,5,2,0,0,Santiago Jaime Latre,5.58,0.22,RCDE Stadium,"Cornella, Spain",14155
Round 22,30/01/16,Barcelona,2,0,0,0,Atl. Madrid,1,3,1,1,Alberto Undiano,4.53,0.14,Spotify Camp Nou,"Barcelona, Spain",94990
Round 22,30/01/16,Eibar,1,1,0,0,Málaga,2,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5249
Round 22,30/01/16,Getafe,0,2,0,1,Athletic Club,1,4,0,0,Javier Estrada Fernandez,5.38,0.25,Coliseum Alfonso Pérez,"Getafe, Spain",9503
Round 22,30/01/16,Villarreal,1,3,0,0,Granada,0,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Estadio de la Ceramica,"Villarreal, Spain",16062
Round 22,30/01/16,Real Sociedad,2,1,0,0,Betis,1,3,0,0,Eduardo Prieto Iglesias,4.81,0.21,Reale Arena,"San Sebastian, Spain",15877
Round 22,31/01/16,Sevilla,3,1,0,0,Levante,1,1,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Ramón Sánchez Pizjuán,"Seville, Spain",33487
Round 22,31/01/16,Valencia,0,0,0,0,Sporting,1,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Mestalla,"Valencia, Spain",35277
Round 22,31/01/16,Las Palmas,2,6,0,0,Celta,1,3,0,1,Jose Maria Sanchez Martinez,5.74,0.28,Gran Canaria,"Las Palmas de Gran Canaria, Spain",18473
Round 22,31/01/16,Real Madrid,6,1,0,0,Espanyol,0,3,0,0,Alejandro Hernandez,5.51,0.27,Santiago Bernabéu,"Madrid, Spain",65768
Round 22,1/2/2016,Deportivo,2,0,0,0,Rayo Vallecano,2,0,0,0,Inaki Vicandi Garrido,4.39,0.32,Riazor,"La Coruna, Spain",19055
Round 21,22/01/16,Sporting,5,2,0,0,Real Sociedad,1,2,0,0,David Fernandez Borbalan,5.63,0.31,El Molinón,"Gijon, Spain",23320
Round 21,23/01/16,Málaga,1,3,0,0,Barcelona,2,3,0,0,Carlos Clos Gomez,5.33,0.3,La Rosaleda,"Malaga, Spain",27559
Round 21,23/01/16,Espanyol,2,3,0,1,Villarreal,2,1,0,0,Pedro Jesus Perez Montero,5.26,0.25,RCDE Stadium,"Cornella, Spain",16251
Round 21,23/01/16,Granada,3,2,0,0,Getafe,2,3,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Estadio Nuevo Los Carmenes,"Granada, Spain",15448
Round 21,23/01/16,Rayo Vallecano,3,3,0,0,Celta,0,5,0,0,Santiago Jaime Latre,5.58,0.22,Estadio de Vallecas,"Madrid, Spain",10676
Round 21,24/01/16,Athletic Club,5,2,0,0,Eibar,2,2,0,0,Jesus Gil Manzano,5.27,0.26,San Mamés,"Bilbao, Spain",43557
Round 21,24/01/16,Atl. Madrid,0,3,0,0,Sevilla,0,4,0,1,Ignacio Iglesias Villanueva,5.62,0.35,Vicente Calderón,"Madrid, Spain",52793
Round 21,24/01/16,Deportivo,1,3,0,0,Valencia,1,2,0,0,Mario Melero Lopez,5.55,0.21,Riazor,"La Coruna, Spain",23782
Round 21,24/01/16,Betis,1,3,0,0,Real Madrid,1,2,0,0,Juan Martinez Munuera,4.9,0.19,Benito Villamarin,"Seville, Spain",48111
