AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
4,45%,33,15,11,118,11,Levante,20/02/21,15,55%,48,10,14,118,13,Atl. Madrid,Round 24
20,42%,46,19,8,128,13,Celta,20/02/21,26,58%,71,9,13,143,11,Valencia,Round 24
21,65%,69,11,14,136,19,Real Madrid,20/02/21,10,35%,43,13,10,141,18,Real Valladolid,Round 24
10,19%,47,12,21,120,16,Cádiz,21/02/21,18,81%,44,13,6,133,4,Barcelona,Round 24
25,35%,62,16,8,113,20,Alavés,21/02/21,14,65%,48,17,6,128,9,Real Sociedad,Round 24
15,40%,38,14,9,137,5,Granada,21/02/21,20,60%,56,13,7,131,11,Huesca,Round 24
6,52%,51,12,19,125,19,Villarreal,21/02/21,11,48%,45,12,7,118,17,Athletic Club,Round 24
20,59%,56,15,10,150,13,Sevilla,22/02/21,22,41%,48,14,10,141,10,Osasuna,Round 24
13,50%,44,15,8,165,13,Elche,12/2/2021,20,50%,61,11,15,141,21,Celta,Round 23
29,61%,79,20,7,146,28,Atl. Madrid,13/02/21,16,39%,52,14,11,165,9,Granada,Round 23
19,34%,51,15,7,130,16,Huesca,13/02/21,20,66%,50,14,12,117,9,Sevilla,Round 23
26,46%,61,12,12,181,12,Real Valladolid,13/02/21,38,54%,75,15,10,183,12,Eibar,Round 23
12,26%,40,14,23,105,14,Alavés,13/02/21,10,74%,33,10,5,108,4,Barcelona,Round 23
23,56%,61,19,10,154,6,Real Sociedad,14/02/21,26,44%,56,23,11,153,8,Getafe,Round 23
11,39%,47,12,9,100,15,Valencia,14/02/21,7,61%,44,13,11,95,14,Real Madrid,Round 23
27,37%,63,10,13,164,18,Osasuna,14/02/21,25,63%,58,13,10,178,13,Levante,Round 23
15,44%,55,13,15,117,12,Betis,14/02/21,12,56%,48,19,8,139,16,Villarreal,Round 23
9,57%,49,13,11,140,14,Athletic Club,15/02/21,9,43%,45,15,15,133,18,Cádiz,Round 23
27,45%,49,17,11,141,4,Real Valladolid,5/2/2021,40,55%,82,11,5,153,17,Alavés,Round 22
15,40%,46,13,13,140,10,Granada,6/2/2021,21,60%,43,12,18,133,7,Levante,Round 22
11,66%,56,9,10,125,12,Real Madrid,6/2/2021,8,34%,41,18,17,115,15,Huesca,Round 22
15,55%,60,5,9,112,14,Villarreal,6/2/2021,6,45%,40,17,19,128,15,Elche,Round 22
10,23%,35,11,14,113,12,Getafe,6/2/2021,19,77%,54,10,15,105,9,Sevilla,Round 22
10,25%,35,7,12,105,14,Cádiz,7/2/2021,6,75%,37,7,4,112,12,Real Sociedad,Round 22
16,50%,46,8,12,142,15,Valencia,7/2/2021,20,50%,54,10,8,153,15,Athletic Club,Round 22
32,46%,65,11,11,174,19,Eibar,7/2/2021,33,54%,64,10,9,198,15,Osasuna,Round 22
9,64%,56,7,12,109,12,Barcelona,7/2/2021,8,36%,45,21,11,109,17,Betis,Round 22
16,55%,53,17,19,138,16,Celta,8/2/2021,12,45%,63,12,15,147,18,Atl. Madrid,Round 22
24,45%,64,12,7,142,13,Huesca,29/01/21,8,55%,42,12,7,141,18,Real Valladolid,Round 21
26,50%,62,12,7,161,20,Sevilla,30/01/21,16,50%,47,10,9,167,7,Eibar,Round 21
6,53%,39,20,4,98,16,Levante,30/01/21,6,47%,58,9,5,108,18,Real Madrid,Round 21
15,55%,58,15,13,134,13,Elche,30/01/21,12,45%,56,18,6,115,18,Valencia,Round 21
16,65%,46,17,8,128,11,Real Sociedad,30/01/21,14,35%,53,10,13,114,13,Villarreal,Round 21
32,40%,66,19,9,177,12,Alavés,31/01/21,31,60%,65,20,12,194,8,Getafe,Round 21
18,52%,52,7,7,113,21,Atl. Madrid,31/01/21,15,48%,46,7,11,130,13,Cádiz,Round 21
25,65%,69,19,9,143,26,Celta,31/01/21,14,35%,49,16,12,132,5,Granada,Round 21
9,41%,39,20,13,118,15,Athletic Club,31/01/21,10,59%,55,12,7,115,10,Barcelona,Round 21
25,35%,64,6,9,129,18,Osasuna,1/2/2021,19,65%,49,12,6,135,15,Betis,Round 21
15,41%,50,12,11,141,19,Real Valladolid,22/01/21,17,59%,57,16,14,148,13,Levante,Round 20
