Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 16,21/12/14,Granada,1,4,0,0,Getafe,1,2,0,0,Fernando Teixeira Vitienes,5.79,0.44,19600,,
Round 16,21/12/14,Elche,1,2,0,0,Málaga,2,1,0,0,Alberto Undiano,4.53,0.14,24134,,
Round 16,21/12/14,Athletic Club,1,3,0,0,Atl. Madrid,4,4,0,0,Alejandro Hernandez,5.51,0.27,46500,,
Round 16,4/2/2015,Real Madrid,2,3,0,0,Sevilla,1,6,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Santiago Bernabéu,"Madrid, Spain",67126
Round 15,12/12/2014,Almería,1,4,0,0,Real Madrid,4,4,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Estadio del Mediterráneo,"Almeria, Spain",13950
Round 15,13/12/14,Getafe,0,1,0,0,Barcelona,0,0,0,0,Inaki Vicandi Garrido,4.39,0.32,Coliseum Alfonso Pérez,"Getafe, Spain",9500
Round 15,13/12/14,Valencia,3,4,0,1,Rayo Vallecano,0,3,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Mestalla,"Valencia, Spain",43510
Round 15,13/12/14,Córdoba,0,0,0,0,Levante,0,3,0,0,Eduardo Prieto Iglesias,4.81,0.21,Estadio Nuevo Arcángel,"Cordoba, Spain",14125
Round 15,13/12/14,Málaga,1,5,0,0,Celta,0,4,0,0,Carlos Del Cerro Grande,4.81,0.22,La Rosaleda,"Malaga, Spain",23650
Round 15,14/12/14,Espanyol,2,2,0,0,Granada,1,5,0,1,Santiago Jaime Latre,5.58,0.22,RCDE Stadium,"Cornella, Spain",18405
Round 15,14/12/14,Sevilla,0,3,0,0,Eibar,0,6,0,0,Javier Estrada Fernandez,5.38,0.25,20000,,
Round 15,14/12/14,Atl. Madrid,0,4,0,0,Villarreal,1,3,0,0,Pedro Jesus Perez Montero,5.26,0.25,Vicente Calderón,"Madrid, Spain",37000
Round 15,14/12/14,Real Sociedad,1,0,0,0,Athletic Club,1,4,0,1,David Fernandez Borbalan,5.63,0.31,26651,,
Round 15,15/12/14,Deportivo,1,5,0,0,Elche,0,2,0,0,Mario Melero Lopez,5.55,0.21,Riazor,"La Coruna, Spain",14167
Round 14,6/12/2014,Elche,0,2,0,0,Atl. Madrid,2,0,0,0,Inaki Vicandi Garrido,4.39,0.32,Estadio Martínez Valero,"Elche, Spain",18290
Round 14,6/12/2014,Athletic Club,0,4,0,0,Córdoba,1,6,0,0,Santiago Jaime Latre,5.58,0.22,San Mamés,"Bilbao, Spain",
Round 14,6/12/2014,Real Madrid,3,4,0,0,Celta,0,4,0,0,Alberto Undiano,4.53,0.14,Santiago Bernabéu,"Madrid, Spain",80300
Round 14,6/12/2014,Deportivo,0,4,0,0,Málaga,1,3,0,0,Jesus Gil Manzano,5.27,0.26,Riazor,"La Coruna, Spain",17662
