AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
8,51%,37,18,6,129,10,Athletic Club,8/4/2023,15,49%,55,14,9,129,18,Espanyol,Round 28
24,39%,54,9,11,166,13,Getafe,8/4/2023,26,61%,62,11,4,149,17,Real Sociedad,Round 28
7,51%,50,19,7,108,19,Villarreal,8/4/2023,3,49%,63,8,6,95,20,Real Madrid,Round 28
21,38%,58,20,2,107,19,Mallorca,9/4/2023,16,62%,62,13,3,109,16,Real Valladolid,Round 28
16,54%,60,16,2,108,24,Cádiz,9/4/2023,10,46%,56,18,5,114,14,Betis,Round 28
13,60%,54,11,2,151,13,Valencia,9/4/2023,15,40%,53,11,5,122,21,Almería,Round 28
13,49%,43,7,8,129,15,Atl. Madrid,9/4/2023,8,51%,42,8,6,150,13,Rayo Vallecano,Round 28
14,41%,53,14,8,111,17,Girona,10/4/2023,15,59%,50,14,7,123,17,Barcelona,Round 28
30,58%,66,17,5,149,10,Osasuna,31/03/23,35,42%,69,19,7,137,14,Mallorca,Round 27
23,38%,56,16,10,140,18,Espanyol,1/4/2023,14,62%,52,12,1,145,12,Girona,Round 27
23,35%,59,9,18,158,20,Getafe,1/4/2023,22,65%,63,9,11,191,16,Athletic Club,Round 27
23,50%,60,14,9,159,17,Sevilla,1/4/2023,21,50%,53,9,3,189,14,Cádiz,Round 27
17,59%,49,11,7,122,11,Barcelona,1/4/2023,11,41%,52,11,7,136,19,Elche,Round 27
12,43%,42,12,15,133,8,Almería,2/4/2023,12,57%,52,13,8,122,18,Celta,Round 27
3,40%,39,11,8,108,15,Real Valladolid,2/4/2023,6,60%,44,17,9,109,13,Real Madrid,Round 27
15,48%,48,19,5,119,15,Real Sociedad,2/4/2023,9,52%,59,12,4,108,17,Villarreal,Round 27
7,46%,49,11,16,125,13,Betis,2/4/2023,9,54%,57,20,4,132,21,Atl. Madrid,Round 27
17,39%,58,16,8,162,22,Rayo Vallecano,3/4/2023,22,61%,73,15,6,168,19,Valencia,Round 27
27,52%,64,14,4,142,16,Athletic Club,17/03/23,18,48%,59,9,12,136,12,Real Valladolid,Round 26
18,33%,57,12,2,149,21,Cádiz,18/03/23,25,67%,57,12,6,159,15,Almería,Round 26
10,53%,45,16,11,130,9,Girona,18/03/23,16,47%,49,15,10,126,10,Rayo Vallecano,Round 26
12,44%,47,12,9,126,12,Celta,18/03/23,19,56%,68,11,11,144,18,Espanyol,Round 26
8,44%,39,9,9,134,10,Valencia,18/03/23,17,56%,53,12,4,118,19,Atl. Madrid,Round 26
22,40%,59,15,10,155,15,Mallorca,19/03/23,20,60%,68,8,7,146,17,Betis,Round 26
19,45%,67,7,7,123,20,Villarreal,19/03/23,16,55%,44,15,9,150,13,Osasuna,Round 26
14,39%,59,16,11,145,12,Elche,19/03/23,14,61%,64,16,9,129,19,Real Sociedad,Round 26
16,63%,63,10,13,141,16,Sevilla,19/03/23,23,37%,53,22,10,141,14,Getafe,Round 26
9,46%,43,13,9,114,14,Real Madrid,19/03/23,7,54%,55,12,8,119,18,Barcelona,Round 26
26,48%,54,16,3,186,15,Getafe,10/3/2023,37,52%,75,13,14,166,11,Cádiz,Round 25
9,29%,51,17,16,77,17,Espanyol,11/3/2023,8,71%,47,12,2,100,9,Real Madrid,Round 25
16,45%,69,11,7,142,26,Real Valladolid,11/3/2023,21,55%,61,19,9,158,20,Elche,Round 25
9,57%,45,12,10,132,11,Rayo Vallecano,11/3/2023,8,43%,54,13,8,113,16,Celta,Round 25
7,46%,39,19,11,146,13,Osasuna,11/3/2023,21,54%,64,8,4,152,12,Valencia,Round 25
35,63%,75,20,3,136,14,Real Sociedad,12/3/2023,25,37%,71,19,4,149,13,Mallorca,Round 25
13,44%,39,11,9,121,11,Almería,12/3/2023,22,56%,54,8,12,113,12,Sevilla,Round 25
9,43%,53,11,11,122,26,Betis,12/3/2023,9,57%,61,8,5,121,22,Villarreal,Round 25
19,63%,57,7,4,144,11,Barcelona,12/3/2023,10,37%,54,13,8,140,26,Athletic Club,Round 25
8,50%,31,12,10,114,6,Atl. Madrid,13/03/23,7,50%,35,6,13,104,12,Girona,Round 25
16,28%,65,18,17,161,22,Cádiz,3/3/2023,32,72%,78,17,10,181,14,Real Sociedad,Round 24
22,61%,74,11,2,164,21,Girona,4/3/2023,15,39%,48,24,15,167,16,Getafe,Round 24
8,71%,46,10,1,100,14,Villarreal,4/3/2023,9,29%,35,11,1,97,13,Almería,Round 24
27,44%,60,14,10,143,11,Elche,4/3/2023,30,56%,63,17,14,149,14,Mallorca,Round 24
5,53%,32,11,11,100,8,Sevilla,4/3/2023,3,47%,30,12,10,88,12,Atl. Madrid,Round 24
20,56%,57,11,7,147,18,Espanyol,5/3/2023,19,44%,55,4,5,142,13,Real Valladolid,Round 24
7,47%,52,13,12,124,25,Valencia,5/3/2023,11,53%,46,11,7,132,13,Barcelona,Round 24
-1,-1,-1,-1,-1,-1,-1,Athletic Club,5/3/2023,-1,-1,-1,-1,-1,-1,-1,Rayo Vallecano,Round 24
8,62%,60,13,11,126,18,Real Madrid,5/3/2023,10,38%,57,12,12,112,20,Betis,Round 24
14,36%,49,12,19,148,13,Celta,6/3/2023,15,64%,60,12,14,162,13,Osasuna,Round 24
11,65%,52,9,7,136,21,Betis,24/02/23,13,35%,54,16,10,125,19,Elche,Round 23
29,61%,58,18,5,153,10,Mallorca,25/02/23,29,39%,61,15,9,137,15,Espanyol,Round 23
20,58%,60,19,6,173,19,Rayo Vallecano,25/02/23,18,42%,68,19,4,178,26,Cádiz,Round 23
8,38%,51,8,7,103,20,Atl. Madrid,25/02/23,12,62%,56,10,6,117,19,Real Madrid,Round 23
16,63%,62,12,3,156,19,Real Sociedad,25/02/23,13,37%,51,13,6,147,22,Valencia,Round 23
10,40%,50,8,16,134,15,Girona,26/02/23,19,60%,51,17,11,155,12,Athletic Club,Round 23
11,47%,44,5,10,160,21,Real Valladolid,26/02/23,13,53%,54,6,18,142,23,Celta,Round 23
23,72%,60,11,6,128,13,Barcelona,26/02/23,15,28%,44,13,8,122,11,Almería,Round 23
21,33%,45,15,5,122,10,Osasuna,26/02/23,17,67%,48,10,6,150,6,Sevilla,Round 23
11,36%,50,13,10,149,20,Getafe,27/02/23,21,64%,62,9,7,160,9,Villarreal,Round 23
13,48%,46,8,10,140,13,Almería,17/02/23,17,52%,51,10,1,139,14,Girona,Round 22
17,45%,55,12,10,124,15,Celta,18/02/23,12,55%,46,14,4,120,15,Real Sociedad,Round 22
15,53%,71,15,12,144,25,Real Valladolid,18/02/23,17,47%,67,18,10,124,23,Betis,Round 22
6,55%,47,8,4,100,11,Villarreal,18/02/23,13,45%,42,19,10,103,14,Mallorca,Round 22
11,53%,52,7,9,117,11,Real Madrid,18/02/23,12,47%,36,17,7,116,16,Osasuna,Round 22
16,54%,56,12,3,148,14,Espanyol,19/02/23,17,46%,63,11,7,139,25,Elche,Round 22
10,42%,59,6,16,144,21,Sevilla,19/02/23,10,58%,48,15,2,140,15,Rayo Vallecano,Round 22
7,43%,41,13,8,168,13,Athletic Club,19/02/23,12,57%,52,7,7,168,18,Atl. Madrid,Round 22
5,35%,38,18,5,109,12,Cádiz,19/02/23,11,65%,58,15,6,107,11,Barcelona,Round 22
7,54%,37,8,9,174,17,Valencia,20/02/23,30,46%,54,11,4,168,12,Getafe,Round 22
11,57%,57,11,6,138,13,Girona,10/2/2023,10,43%,60,17,4,128,26,Cádiz,Round 21
14,48%,51,10,13,136,15,Betis,11/2/2023,15,52%,57,12,8,156,16,Almería,Round 21
16,35%,52,14,6,126,23,Mallorca,11/2/2023,7,65%,42,9,6,137,13,Sevilla,Round 21
-1,-1,-1,-1,-1,-1,-1,Athletic Club,11/2/2023,-1,-1,-1,-1,-1,-1,-1,Valencia,Round 21
16,58%,50,19,6,149,6,Rayo Vallecano,12/2/2023,20,42%,63,21,10,151,15,Getafe,Round 21
